sex,edyrs,usmarl,usdurl,usdocl,reltrip,paistrip,sport,social,age,minors,land,property,business,METROCAT,usunemp,inus,sons,daus,hrwage_adj_2019,pre_irca,irca,iirira,pais_pre_irca,pais_irca,pais_iirira
1.0,2.0,1.0,168.0,1.0,1.0,1.0,2.0,1.0,37.0,5.0,0.0,1.0,0.0,2.0,0.071,1.0,1.0,0.0,63.28143564356436,1.0,0.0,0.0,0.0,0.0,0.0
1.0,6.0,1.0,96.0,1.0,1.0,1.0,2.0,2.0,53.0,0.0,1.0,1.0,0.0,2.0,0.053,1.0,0.0,0.0,14.432250000000002,0.0,1.0,0.0,0.0,0.0,0.0
1.0,0.0,1.0,3.0,8.0,2.0,1.0,2.0,2.0,32.0,7.0,0.0,0.0,0.0,3.0,0.056,0.0,1.0,1.0,11.843323183569808,1.0,0.0,0.0,1.0,0.0,0.0
1.0,10.0,1.0,138.0,8.0,1.0,2.0,2.0,2.0,27.0,2.0,0.0,0.0,0.0,1.0,0.056,0.0,0.0,3.0,11.843323183569808,0.0,1.0,0.0,0.0,0.0,0.0
1.0,12.0,1.0,12.0,8.0,1.0,1.0,2.0,2.0,51.0,3.0,0.0,1.0,1.0,1.0,0.047,0.0,2.0,1.0,8.66144551101073,0.0,0.0,1.0,0.0,0.0,1.0
1.0,0.0,1.0,6.0,8.0,2.0,1.0,2.0,2.0,43.0,6.0,0.0,1.0,1.0,3.0,0.055,0.0,0.0,0.0,7.563816568047338,0.0,1.0,0.0,0.0,1.0,0.0
1.0,6.0,1.0,24.0,8.0,2.0,1.0,2.0,2.0,34.0,2.0,0.0,1.0,0.0,3.0,0.093,0.0,1.0,1.0,9.83126570241963,0.0,0.0,1.0,0.0,0.0,1.0
1.0,3.0,1.0,6.0,8.0,2.0,1.0,2.0,2.0,24.0,2.0,0.0,1.0,0.0,3.0,0.036,0.0,1.0,3.0,24.243336206896554,1.0,0.0,0.0,1.0,0.0,0.0
1.0,3.0,1.0,12.0,8.0,1.0,1.0,2.0,2.0,50.0,5.0,1.0,1.0,0.0,3.0,0.045,0.0,3.0,3.0,11.843323183569808,0.0,0.0,1.0,0.0,0.0,1.0
1.0,6.0,2.0,6.0,8.0,2.0,1.0,2.0,2.0,23.0,0.0,0.0,0.0,1.0,2.0,0.062,0.0,2.0,2.0,7.426655809859155,0.0,1.0,0.0,0.0,1.0,0.0
1.0,12.0,2.0,24.0,8.0,1.0,2.0,2.0,2.0,20.0,0.0,0.0,0.0,0.0,3.0,0.068,0.0,1.0,0.0,5.631211453744494,0.0,1.0,0.0,0.0,0.0,0.0
1.0,15.0,1.0,18.0,8.0,1.0,2.0,2.0,2.0,43.0,0.0,0.0,1.0,0.0,1.0,0.046,0.0,0.0,1.0,11.843323183569808,0.0,0.0,1.0,0.0,0.0,0.0
1.0,9.0,2.0,10.0,8.0,1.0,2.0,2.0,2.0,31.0,3.0,0.0,0.0,1.0,4.0,0.04,0.0,1.0,2.0,7.423257839721256,0.0,0.0,1.0,0.0,0.0,0.0
1.0,6.0,1.0,24.0,8.0,1.0,1.0,2.0,2.0,28.0,4.0,0.0,0.0,0.0,4.0,0.096,0.0,1.0,1.0,8.085537650602411,1.0,0.0,0.0,0.0,0.0,0.0
