sex,edyrs,usmarl,usdurl,usdocl,reltrip,paistrip,sport,social,age,minors,land,property,business,METROCAT,usunemp,inus,sons,daus,hrwage_adj_2019,pre_irca,irca,iirira,pais_pre_irca,pais_irca,pais_iirira,target
1,6.0,2.0,108,8.0,1.0,1.0,2.0,2.0,22,0.0,0,0,0,2,0.053,1,2,1,18.55575,0,1,0,0,1,0,0
1,9.0,1.0,114,5.0,,,2.0,2.0,24,1.0,1,1,0,2,0.068,1,1,0,18.77070484581498,0,1,0,0,0,0,1
1,6.0,1.0,18,8.0,,,2.0,2.0,26,2.0,0,1,0,2,0.042,0,0,0,9.360790516206482,0,0,1,0,0,0,1
1,5.0,1.0,18,8.0,,,2.0,2.0,33,3.0,0,0,0,2,0.042,0,0,1,,0,0,1,0,0,0,1
1,6.0,2.0,102,8.0,,,2.0,2.0,31,0.0,1,1,0,2,0.075,1,1,0,12.75551674982181,0,1,0,0,0,0,1
1,12.0,1.0,222,4.0,1.0,1.0,2.0,2.0,20,0.0,0,1,0,2,0.097,0,1,0,6.6232383419689125,1,0,0,1,0,0,1
1,5.0,1.0,150,8.0,,,2.0,2.0,24,1.0,0,0,0,2,0.055,0,1,2,17.2887235841082,0,1,0,0,0,0,1
1,6.0,2.0,216,1.0,,,2.0,2.0,20,0.0,0,0,0,2,0.096,0,0,0,74.43828313253012,1,0,0,0,0,0,1
1,9.0,2.0,138,8.0,1.0,1.0,2.0,2.0,17,0.0,0,0,0,2,0.053,0,1,1,26.80275,0,1,0,0,1,0,1
1,4.0,2.0,318,,1.0,1.0,2.0,2.0,14,0.0,0,0,0,2,0.056,0,2,1,51.857403651115625,1,0,0,1,0,0,1
1,17.0,2.0,126,1.0,1.0,2.0,2.0,2.0,25,0.0,0,0,0,2,0.056,1,1,0,23.47271614384086,0,1,0,0,0,0,1
1,8.0,1.0,18,8.0,1.0,1.0,2.0,2.0,25,1.0,0,0,0,2,0.042,0,1,0,9.20733493397359,0,0,1,0,0,1,1
1,6.0,1.0,174,1.0,1.0,2.0,2.0,2.0,19,0.0,0,1,0,2,0.07,1,3,1,62.98119525547446,1,0,0,0,0,0,1
1,3.0,1.0,126,8.0,2.0,2.0,2.0,2.0,36,4.0,0,0,0,2,0.056,0,4,0,25.428775822494266,0,1,0,0,0,0,1
1,4.0,1.0,126,1.0,,,2.0,2.0,20,0.0,0,0,0,2,0.056,0,0,3,19.56059678653405,0,1,0,0,0,0,1
1,2.0,1.0,66,8.0,1.0,2.0,2.0,2.0,24,3.0,0,0,0,2,0.056,0,2,1,8.639327755905514,0,1,0,0,0,0,1
1,6.0,2.0,90,1.0,1.0,2.0,2.0,2.0,17,0.0,0,0,0,2,0.069,0,1,1,24.769536332179932,0,1,0,0,0,0,1
1,6.0,2.0,186,8.0,1.0,1.0,2.0,2.0,19,0.0,1,0,0,2,0.072,1,1,0,16.631960966542753,1,0,0,1,0,0,1
1,12.0,1.0,6,1.0,1.0,1.0,2.0,2.0,45,2.0,0,1,1,2,0.042,0,0,2,4.603667466986795,0,0,1,0,0,1,0
1,3.0,1.0,48,8.0,1.0,1.0,2.0,2.0,25,2.0,1,0,0,2,0.071,0,3,1,8.06684708737864,1,0,0,1,0,0,0
1,6.0,1.0,4,8.0,1.0,1.0,2.0,2.0,17,0.0,0,1,0,2,0.07,0,2,2,13.995821167883213,1,0,0,1,0,0,0
1,9.0,2.0,240,8.0,1.0,2.0,1.0,2.0,21,0.0,0,0,0,2,0.059,1,1,1,63.12518518518519,1,0,0,0,0,0,0
1,12.0,1.0,3,8.0,2.0,2.0,2.0,2.0,39,3.0,1,1,0,2,0.054,0,1,2,8.961845124282984,0,1,0,0,0,0,0
1,12.0,2.0,48,8.0,2.0,1.0,,,17,0.0,0,0,0,2,0.097,0,2,0,9.272533678756478,1,0,0,1,0,0,0
