birth_cohort,education,labor_exp_age45,first_migration_age,total_trips,legal_status,latest_us_occupation,accumulated_us_experience,mean_proportion_low_income,label
1973,9.0,16.0,16.0,1,WD,Manual,120.0,0.2656433174291274,undetermined
1977,12.0,5.666666666666667,12.0,2,WD,Manual,116.0,0.2656433174291274,undetermined
1962,6.0,26.5,20.0,1,WD,Agrarian,198.0,0.2656433174291274,undetermined
1958,4.0,28.416666666666668,31.0,3,WD,Other,113.0,0.2656433174291274,undetermined
1937,0.0,30.0,33.0,2,WD,Agrarian,156.0,0.2656433174291274,no_movement
1968,3.0,21.166666666666668,20.0,2,WD,Other,26.0,0.2656433174291274,undetermined
1978,10.0,2.0833333333333335,19.0,1,WD,Manual,13.0,0.2656433174291274,undetermined
1970,6.0,18.0,17.0,3,WD,Other,78.0,0.2656433174291274,undetermined
1976,6.0,12.5,15.0,3,WD,Other,66.0,0.2656433174291274,undetermined
1954,6.0,35.0,38.0,1,WD,Manual,84.0,0.2656433174291274,undetermined
1956,2.0,34.5,36.0,1,WD,Agrarian,6.0,0.2656433174291274,undetermined
1948,6.0,30.166666666666668,35.0,1,WOD,Manual,2.0,0.2656433174291274,no_movement
1953,3.0,31.0,40.0,1,WD,Other,72.0,0.2656433174291274,downward
1975,6.0,10.833333333333334,22.0,1,WD,Other,10.0,0.2656433174291274,undetermined
1970,4.0,14.0,26.0,1,WD,Other,36.0,0.2656433174291274,undetermined
1965,6.0,19.0,23.0,2,WD,Other,96.0,0.2656433174291274,undetermined
1968,6.0,15.333333333333334,18.0,4,WOD,Agrarian,156.0,0.2656433174291274,undetermined
1956,5.0,28.0,31.0,1,WD,Agrarian,228.0,0.2656433174291274,undetermined
1975,2.0,9.333333333333334,21.0,1,WD,Agrarian,36.0,0.2656433174291274,undetermined
1968,6.0,21.0,26.0,1,WD,Other,60.0,0.2656433174291274,undetermined
1970,6.0,15.0,19.0,2,WD,Manual,84.0,0.2656433174291274,undetermined
1966,2.0,20.0,18.0,1,WD,Manual,180.0,0.2656433174291274,undetermined
1967,5.0,19.083333333333332,30.0,1,WD,Agrarian,7.0,0.2351765307508255,undetermined
1962,17.0,19.333333333333332,27.0,3,WOD,Manual,28.0,0.2351765307508255,undetermined
