Classifier,Train_sizes,Train_scores,Validation_scores
MLP,346,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.5882549516350932, 0.5842738959562475, 0.6023528431668335, 0.5649619662657314, 0.5616638025896733, 0.6158091386752037, 0.5560779124613263, 0.5863280180745265, 0.5812369981215945, 0.557255248751371]"
MLP,692,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9964194311367766, 1.0]","[0.5847450450349811, 0.6226277965757671, 0.5734268569484008, 0.5341109968247963, 0.6567123757852216, 0.5831779641038685, 0.5930425625721129, 0.5953575201201948, 0.6285659909309733, 0.5925141132949137]"
MLP,1384,"[0.9945145994592284, 0.9963366349778054, 1.0, 0.9963670701859769, 1.0, 0.9945557928181703, 0.9944960131768402, 0.9981833822364427, 0.9981650874154553, 0.9963366349778054]","[0.638769484421178, 0.5932389143782625, 0.6500518680055082, 0.5997946141958195, 0.6497282538365343, 0.6216202928615774, 0.5812369981215945, 0.5864694171538805, 0.6265010061370249, 0.6479152633355065]"
MLP,2076,"[0.9705283975617054, 0.9704955783294025, 0.9768713656790322, 0.9753910983751514, 0.9663874522588457, 0.9765523892370931, 0.9678072131385639, 0.972970266349, 0.9680337592322652, 0.9406480374242033]","[0.6192079810850931, 0.6289325841581478, 0.6248777677871419, 0.6234693220016156, 0.6425420708731324, 0.6304732240248608, 0.6403527241582849, 0.5730735758727479, 0.6136811006874704, 0.687416282218985]"
MLP,2769,"[0.9659587953792174, 0.9633028689618431, 0.9817248697133103, 0.9675693309668494, 0.9640253482619913, 0.9660260633055717, 0.9659654990849152, 0.964110692830953, 0.9762342916824477, 0.9704690198860623]","[0.6052235328159212, 0.6136045600423613, 0.6335107692417278, 0.6212567531411204, 0.6847974748080988, 0.6494720557611626, 0.6265703276490705, 0.6179368864301543, 0.6626684234880471, 0.6673726263689895]"
MLP,3461,"[0.9451978846757889, 0.9267331950924922, 0.938104072159566, 0.9469023495181813, 0.9396805048581899, 0.9364376925729441, 0.9023393293460299, 0.946522697810893, 0.9363597802593207, 0.9142924233316252]","[0.6549699498296655, 0.6543235087283858, 0.666581382372858, 0.6562902357898989, 0.6828642287019838, 0.6835871848090351, 0.6388061842416707, 0.567661642144185, 0.654697176813735, 0.6892978884810457]"
MLP,4153,"[0.9163408154887418, 0.9187063317629727, 0.9363406150933467, 0.9258660135427551, 0.9418540415348369, 0.9375500651539428, 0.9074658103147379, 0.9474284962356794, 0.9147190954267768, 0.9315700976630402]","[0.6500652691944818, 0.6799002286426938, 0.6666589961587414, 0.656974564473505, 0.6924111925311799, 0.6831924888012819, 0.6558270683836355, 0.6546611122471758, 0.6486948627832823, 0.6672302483057669]"
MLP,4846,"[0.9230980842183814, 0.8747679491395888, 0.872420067651149, 0.88109737925386, 0.8836482459078089, 0.8890456470110912, 0.8737311040083218, 0.8796375707211688, 0.890519206539589, 0.8851520176359375]","[0.6578072034717867, 0.7007898091269749, 0.7038480682022897, 0.6574413218818614, 0.6727119167839561, 0.7194927583860982, 0.6942107046326599, 0.6812101120921936, 0.6686998440168378, 0.691591030436968]"
MLP,5538,"[0.8754802984899801, 0.8759744154041521, 0.8728019748687352, 0.910961049432218, 0.8782678742197787, 0.8668728443657711, 0.9087797336662108, 0.8810744875372147, 0.8811960859116262, 0.8898186784340597]","[0.678149091412802, 0.7480293805969547, 0.7000753574111321, 0.6671582545772655, 0.676521012888867, 0.7098959329452534, 0.6930890653114768, 0.6796333996557591, 0.6986048373030035, 0.6662675846305594]"
MLP,6230,"[0.8418751134469767, 0.8191470322746102, 0.8432348260404315, 0.8184005407354699, 0.8369486527484631, 0.8092104666467032, 0.8453896451547764, 0.7982931240616379, 0.8383293878512998, 0.8263783040912726]","[0.6819688104844395, 0.7144421343142682, 0.7045650392497078, 0.7084177972503778, 0.6948310308799075, 0.7273232178235913, 0.6828642287019838, 0.6750429172484201, 0.7124128183831693, 0.7085907265153404]"
RBF SVM,346,"[0.7376851180538234, 0.7616054444999909, 0.7335550606377779, 0.7410239874769693, 0.7647874547780191, 0.7387224812436051, 0.7765820128878343, 0.7702348631091341, 0.7196504174577638, 0.7336458288794024]","[0.5370424292132853, 0.5454524896260213, 0.5875624155824133, 0.564002639064734, 0.6061423949985342, 0.6108951539622361, 0.5785723372111191, 0.5468638818882464, 0.6003118044541714, 0.5974875786296747]"
RBF SVM,692,"[0.7388378495043387, 0.7239263811859605, 0.7257675435598444, 0.7633373747417217, 0.7340287395034579, 0.726880405084145, 0.7324652924330821, 0.7238365522411224, 0.745311393293756, 0.7431338839959999]","[0.5825370045962052, 0.6073199805630163, 0.6266522198310664, 0.6199664524869689, 0.6643573223498326, 0.6553664446692016, 0.5743872987808477, 0.5893257293986162, 0.6704526784532473, 0.6305760192795914]"
RBF SVM,1384,"[0.759278423572053, 0.7541666370163546, 0.7599231819939322, 0.7505015449084047, 0.7584397190924919, 0.7512100635124579, 0.7461052789667875, 0.7460313484916642, 0.7384806280881664, 0.7502729152721792]","[0.649981330609031, 0.6716035348869116, 0.663403092609605, 0.6552155197218253, 0.7000630631846942, 0.6857192826959029, 0.6372557063181278, 0.5860860250457166, 0.6750993223111482, 0.6714659073511744]"
RBF SVM,2076,"[0.7738680683718997, 0.7652905634661303, 0.7731846232270515, 0.767002831745969, 0.766060328208373, 0.7628287540698262, 0.7567755475454795, 0.7736864600949189, 0.7612381842266075, 0.7665091894214465]","[0.6254274971646754, 0.677308453627608, 0.6498738318570996, 0.6662699104361418, 0.7128479284072307, 0.7151517925115964, 0.678219154224966, 0.6148221313210118, 0.689459066841862, 0.6549295756426924]"
RBF SVM,2769,"[0.7743954627087328, 0.766481011636067, 0.7696480305802704, 0.7693797985052441, 0.7649612058211291, 0.7547276735978171, 0.7713662876769062, 0.7699290069723214, 0.7529622244707675, 0.7606790780317157]","[0.6524860172537421, 0.7012822629252878, 0.6786260053087328, 0.6606894531322408, 0.7333120472890223, 0.7226503118602797, 0.6898736738207387, 0.620011259318578, 0.7154593427891028, 0.6727119167839561]"
RBF SVM,3461,"[0.7657397956631042, 0.7648950934975236, 0.761333828572092, 0.7631681720860294, 0.7635664804982155, 0.7614693107975127, 0.7677349011826577, 0.7674524725189626, 0.7619382751583678, 0.7592370759281303]","[0.6436917295025217, 0.7096122882733112, 0.6862007676547429, 0.6606894531322408, 0.7263249685029278, 0.7189701626274733, 0.6930440611875637, 0.6285659909309733, 0.7117631228691401, 0.6841219802013134]"
RBF SVM,4153,"[0.7703478733964207, 0.7626309645935929, 0.7628359005501466, 0.7653017468101062, 0.7609608710964626, 0.7605631019110587, 0.7660045701546963, 0.7701259153357205, 0.7633098234048629, 0.758650310064577]","[0.6370687525467609, 0.7001896636621071, 0.6862007676547429, 0.6714246825403105, 0.7371536236743667, 0.7370322500026336, 0.7186846077130675, 0.6332030651340654, 0.7152843898564326, 0.6954823101951425]"
RBF SVM,4846,"[0.7677893007411987, 0.7666964792404096, 0.764545458361261, 0.7658008478644536, 0.7636214398061416, 0.763782999700005, 0.7654366219395689, 0.7689578723726628, 0.7654773960450211, 0.7603215545800409]","[0.6682844638835138, 0.6889030773961555, 0.6917245730137519, 0.6621696393086873, 0.718738323602055, 0.7226503118602797, 0.7223528931859329, 0.6413857236230126, 0.718688573562265, 0.693622000211881]"
