Classifier,Train_sizes,Train_scores,Validation_scores
MLP,160,"[0.66875, 0.6375, 0.69375, 0.6375, 0.525, 0.1, 0.68125, 0.675, 0.49375, 0.59375]","[0.32492997198879553, 0.3081232492997199, 0.33053221288515405, 0.32212885154061627, 0.32492997198879553, 0.33613445378151263, 0.3025210084033613, 0.34831460674157305, 0.37640449438202245, 0.4044943820224719]"
MLP,321,"[0.5607476635514018, 0.5482866043613707, 0.6105919003115264, 0.5825545171339563, 0.17133956386292834, 0.1277258566978193, 0.6230529595015576, 0.6448598130841121, 0.6292834890965732, 0.19937694704049844]","[0.2913165266106443, 0.31092436974789917, 0.3081232492997199, 0.3389355742296919, 0.32492997198879553, 0.3389355742296919, 0.33053221288515405, 0.3398876404494382, 0.33146067415730335, 0.31179775280898875]"
MLP,642,"[0.5887850467289719, 0.6479750778816199, 0.6292834890965732, 0.6526479750778816, 0.22429906542056074, 0.6510903426791277, 0.6261682242990654, 0.5451713395638629, 0.6059190031152648, 0.6386292834890965]","[0.34173669467787116, 0.3389355742296919, 0.34173669467787116, 0.33613445378151263, 0.3333333333333333, 0.3333333333333333, 0.3473389355742297, 0.30337078651685395, 0.3455056179775281, 0.33146067415730335]"
MLP,963,"[0.6074766355140186, 0.6261682242990654, 0.6282450674974039, 0.6344755970924195, 0.6386292834890965, 0.652128764278297, 0.632398753894081, 0.6417445482866043, 0.6188992731048806, 0.6344755970924195]","[0.33053221288515405, 0.3333333333333333, 0.33053221288515405, 0.3473389355742297, 0.33613445378151263, 0.3333333333333333, 0.32492997198879553, 0.33707865168539325, 0.3342696629213483, 0.3455056179775281]"
MLP,1284,"[0.6230529595015576, 0.6355140186915887, 0.631619937694704, 0.6394080996884736, 0.6370716510903427, 0.6370716510903427, 0.6355140186915887, 0.633177570093458, 0.6378504672897196, 0.6355140186915887]","[0.3557422969187675, 0.3277310924369748, 0.3333333333333333, 0.3333333333333333, 0.3585434173669468, 0.3389355742296919, 0.3333333333333333, 0.351123595505618, 0.33146067415730335, 0.3342696629213483]"
MLP,1605,"[0.6155763239875389, 0.6236760124610592, 0.6280373831775701, 0.6330218068535826, 0.6342679127725857, 0.632398753894081, 0.6137071651090342, 0.6280373831775701, 0.6330218068535826, 0.6280373831775701]","[0.37254901960784315, 0.33053221288515405, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.33053221288515405, 0.3389355742296919, 0.3398876404494382, 0.33146067415730335, 0.33146067415730335]"
MLP,1926,"[0.5503634475597092, 0.557632398753894, 0.5441329179646937, 0.539460020768432, 0.54932502596054, 0.553478712357217, 0.5488058151609554, 0.5503634475597092, 0.553478712357217, 0.5571131879543094]","[0.3333333333333333, 0.3333333333333333, 0.33613445378151263, 0.3389355742296919, 0.3333333333333333, 0.3473389355742297, 0.35294117647058826, 0.3398876404494382, 0.3202247191011236, 0.34269662921348315]"
MLP,2247,"[0.4485981308411215, 0.49577214063195374, 0.46239430351579885, 0.4753004005340454, 0.49666221628838453, 0.5033377837116155, 0.477080551846907, 0.45883400089007564, 0.48553627058299953, 0.4672897196261682]","[0.39215686274509803, 0.43137254901960786, 0.31092436974789917, 0.3333333333333333, 0.42016806722689076, 0.40336134453781514, 0.3333333333333333, 0.3342696629213483, 0.36235955056179775, 0.33146067415730335]"
MLP,2568,"[0.5408878504672897, 0.5638629283489096, 0.4400311526479751, 0.5319314641744548, 0.5486760124610592, 0.5404984423676013, 0.508177570093458, 0.552570093457944, 0.5494548286604362, 0.5697040498442367]","[0.42296918767507, 0.4425770308123249, 0.32212885154061627, 0.3697478991596639, 0.43977591036414565, 0.42857142857142855, 0.38375350140056025, 0.4241573033707865, 0.38764044943820225, 0.4691011235955056]"
MLP,2889,"[0.49048113534094845, 0.48425060574593287, 0.4499826929733472, 0.47628937348563516, 0.5264797507788161, 0.48459674627898924, 0.4534440983039114, 0.4499826929733472, 0.44929041190723434, 0.5008653513326411]","[0.4789915966386555, 0.44537815126050423, 0.3865546218487395, 0.38375350140056025, 0.48739495798319327, 0.45098039215686275, 0.4173669467787115, 0.40730337078651685, 0.37640449438202245, 0.46348314606741575]"
